Dimensiune(bytes),Tip,Timp(s),Viteza(MB/s)
4096,Secvential,0.0000,1775.57
4096,Aleator,0.0000,1914.83
4096,Matrice-Linii,0.0000,1743.86
4096,Matrice-Coloane,0.0000,1627.60
4096,Matrice-Fragmentata,0.0000,2034.51
16384,Secvential,0.0000,1804.27
16384,Aleator,0.0000,1929.01
16384,Matrice-Linii,0.0000,1743.86
16384,Matrice-Coloane,0.0000,2039.82
16384,Matrice-Fragmentata,0.0000,1914.83
65536,Secvential,0.0000,1567.20
65536,Aleator,0.0000,1664.00
65536,Matrice-Linii,0.0000,1734.18
65536,Matrice-Coloane,0.0002,357.96
65536,Matrice-Fragmentata,0.0001,569.11
262144,Secvential,0.0001,1791.34
262144,Aleator,0.0001,1736.59
262144,Matrice-Linii,0.0001,1741.67
262144,Matrice-Coloane,0.0002,1463.70
262144,Matrice-Fragmentata,0.0001,1946.43
1048576,Secvential,0.0006,1665.83
1048576,Aleator,0.0006,1707.59
1048576,Matrice-Linii,0.0006,1753.59
1048576,Matrice-Coloane,0.0008,1328.23
1048576,Matrice-Fragmentata,0.0005,1886.51
4194304,Secvential,0.0023,1741.71
4194304,Aleator,0.0023,1710.85
4194304,Matrice-Linii,0.0024,1697.79
4194304,Matrice-Coloane,0.0042,962.68
4194304,Matrice-Fragmentata,0.0021,1887.33
16777216,Secvential,0.0093,1726.36
16777216,Aleator,0.0094,1703.11
16777216,Matrice-Linii,0.0094,1701.49
16777216,Matrice-Coloane,0.0592,270.16
16777216,Matrice-Fragmentata,0.0081,1963.33
67108864,Secvential,0.0381,1681.05
67108864,Aleator,0.0383,1671.62
67108864,Matrice-Linii,0.0377,1695.78
